SNP,freq_alt,MAF,n_missing,pct_missing
X.9.402,0.999441,0.000559,13,1.43
X.9.403,0.960773,0.039227,2,0.22
X2.181,0.929444,0.070556,7,0.77
X.9.404,0.577397,0.422603,177,19.51
X.9.405,0.841137,0.158863,10,1.1
X2.182,0.875553,0.124447,3,0.33
X.9.406,0.999388,0.000612,90,9.92
X1.58,0.520717,0.479283,14,1.54
X1.59,0.658439,0.341561,36,3.97
X2.183,0.632184,0.367816,37,4.08
X.9.407,0.989503,0.010497,2,0.22
X.9.408,0.853104,0.146896,5,0.55
X.9.409,0.506132,0.493868,10,1.1
X.9.410,0.918136,0.081864,113,12.46
X2.184,0.703453,0.296547,96,10.58
X2.185,0.919101,0.080899,17,1.87
X.9.411,0.771626,0.228374,40,4.41
X2.186,0.937152,0.062848,8,0.88
X.9.412,0.814752,0.185248,19,2.09
X.9.413,0.67447,0.32553,10,1.1
X1.60,0.551955,0.448045,12,1.32
X2.187,0.98702,0.01298,21,2.32
X.9.414,0.562084,0.437916,5,0.55
X1.61,0.993889,0.006111,7,0.77
X.9.415,0.903654,0.096346,4,0.44
X2.188,0.923337,0.076663,20,2.21
X2.189,0.744311,0.255689,160,17.64
X.9.416,0.964653,0.035347,129,14.22
X.9.417,0.999443,0.000557,10,1.1
X.9.418,0.512338,0.487662,56,6.17
X2.190,0.816925,0.183075,3,0.33
X.9.419,0.815996,0.184004,13,1.43
X.9.420,0.721175,0.278825,5,0.55
X1.62,0.583519,0.416481,9,0.99
X2.191,0.915909,0.084091,27,2.98
X.9.421,0.849432,0.150568,27,2.98
X.9.422,0.999444,0.000556,7,0.77
X.9.423,0.934831,0.065169,17,1.87
X2.192,0.990597,0.009403,3,0.33
X2.193,0.962901,0.037099,4,0.44
X.9.424,0.802339,0.197661,9,0.99
X.9.425,0.600173,0.399827,328,36.16
X.9.426,0.627474,0.372526,48,5.29
X.9.427,0.997219,0.002781,8,0.88
X.9.428,0.914977,0.085023,19,2.09
X2.194,0.969629,0.030371,18,1.98
X.9.429,0.930233,0.069767,4,0.44
X2.195,0.879578,0.120422,6,0.66
X.9.430,0.970556,0.029444,7,0.77
X2.196,0.990617,0.009383,161,17.75
X2.197,0.720571,0.279429,32,3.53
X2.198,0.888087,0.111913,76,8.38
X.9.431,0.982527,0.017473,163,17.97
X.9.432,0.999444,0.000556,7,0.77
X.9.433,0.999435,0.000565,22,2.43
X.9.434,0.813679,0.186321,59,6.5
X.9.435,0.927938,0.072062,5,0.55
X.9.436,0.998785,0.001215,84,9.26
X1.63,0.84292,0.15708,3,0.33
X.9.437,0.991515,0.008485,82,9.04
X.9.438,0.807169,0.192831,98,10.8
X.9.439,0.858732,0.141268,8,0.88
X2.199,0.988713,0.011287,21,2.32
X.9.440,0.952787,0.047213,28,3.09
X2.200,0.93471,0.06529,11,1.21
X2.201,0.896993,0.103007,9,0.99
X.9.441,0.70232,0.29768,131,14.44
X2.202,0.899879,0.100121,78,8.6
X.9.442,0.549888,0.450112,15,1.65
X.9.443,0.975085,0.024915,24,2.65
X.9.444,0.828508,0.171492,9,0.99
X2.203,0.851831,0.148169,6,0.66
X.9.445,0.956811,0.043189,4,0.44
X1.64,0.908621,0.091379,37,4.08
X.9.446,0.881057,0.118943,226,24.92
X.9.447,0.992554,0.007446,34,3.75
X1.65,0.608726,0.391274,185,20.4
X.9.448,0.666111,0.333889,7,0.77
X.9.449,0.925638,0.074362,6,0.66
X2.204,0.724501,0.275499,5,0.55
X2.205,0.981728,0.018272,4,0.44
X.9.450,0.653027,0.346973,15,1.65
X2.206,0.834091,0.165909,27,2.98
X.9.451,0.895996,0.104004,8,0.88
X.9.452,0.917588,0.082412,3,0.33
X.9.453,0.956935,0.043065,13,1.43
X.9.454,0.723085,0.276915,6,0.66
X2.207,0.973976,0.026024,4,0.44
X.9.455,0.926275,0.073725,5,0.55
X.9.456,0.754444,0.245556,7,0.77
X0.5,0.546999,0.453001,24,2.65
X.9.457,0.939444,0.060556,7,0.77
X.9.458,0.646465,0.353535,16,1.76
X2.208,0.993318,0.006682,9,0.99
X.9.459,0.650167,0.349833,8,0.88
X2.209,0.61918,0.38082,5,0.55
X.9.460,0.972656,0.027344,11,1.21
X.9.461,0.982593,0.017407,74,8.16
X.9.462,0.517585,0.482415,54,5.95
X.9.463,0.507804,0.492196,10,1.1
X.9.464,0.585055,0.414945,84,9.26
X1.66,0.946429,0.053571,11,1.21
X2.210,0.99252,0.00748,38,4.19
X.9.465,0.900447,0.099553,13,1.43
X2.211,0.890122,0.109878,6,0.66
X.9.466,0.878362,0.121638,89,9.81
X.9.467,0.738358,0.261642,91,10.03
X.9.468,0.998858,0.001142,31,3.42
X.9.469,0.927938,0.072062,5,0.55
X.9.470,0.999445,0.000555,6,0.66
X1.67,0.612165,0.387835,11,1.21
X1.68,0.544444,0.455556,7,0.77
X0.6,0.58287,0.41713,8,0.88
X.9.471,0.958426,0.041574,5,0.55
X2.212,0.958057,0.041943,1,0.11
X.9.472,0.846457,0.153543,18,1.98
X.9.473,0.989168,0.010832,30,3.31
X.9.474,0.928167,0.071833,23,2.54
X2.213,0.959551,0.040449,17,1.87
X.9.475,0.958896,0.041104,92,10.14
X1.69,0.622924,0.377076,4,0.44
X.9.476,0.892342,0.107658,6,0.66
X.9.477,0.974388,0.025612,9,0.99
X2.214,0.663982,0.336018,38,4.19
X.9.478,0.725882,0.274118,57,6.28
X.9.479,0.997765,0.002235,12,1.32
X.9.480,0.937146,0.062854,24,2.65
X2.215,0.965632,0.034368,5,0.55
X.9.481,0.901885,0.098115,5,0.55
X.9.482,0.578608,0.421392,131,14.44
X.9.483,0.956376,0.043624,13,1.43
X2.216,0.985311,0.014689,22,2.43
X.9.484,0.907263,0.092737,12,1.32
X2.217,0.98062,0.01938,4,0.44
X2.218,0.95923,0.04077,24,2.65
X.9.485,0.722155,0.277845,81,8.93
X.9.486,0.668325,0.331675,304,33.52
X.9.487,0.966186,0.033814,5,0.55
X2.219,0.935556,0.064444,7,0.77
X.9.488,0.647624,0.352376,23,2.54
X.9.489,0.956199,0.043801,165,18.19
X.9.490,0.999446,0.000554,4,0.44
X.9.491,0.989491,0.010509,3,0.33
X.9.492,0.947222,0.052778,7,0.77
X.9.493,0.633489,0.366511,53,5.84
X.9.494,0.963889,0.036111,7,0.77
X.9.495,0.951955,0.048045,12,1.32
X.9.496,0.926174,0.073826,13,1.43
X.9.497,0.741697,0.258303,94,10.36
X2.220,0.700861,0.299139,210,23.15
X2.221,0.967149,0.032851,9,0.99
X1.70,0.567853,0.432147,8,0.88
X.9.498,0.761693,0.238307,9,0.99
X.9.499,0.8386,0.1614,21,2.32
X.9.500,0.999443,0.000557,9,0.99
X2.222,0.992231,0.007769,6,0.66
X.9.501,0.980577,0.019423,6,0.66
X2.223,0.752299,0.247701,37,4.08
X.9.502,0.956715,0.043285,6,0.66
X2.224,0.998896,0.001104,1,0.11
X.9.503,0.933931,0.066069,14,1.54
X.9.504,0.6469,0.3531,165,18.19
X.9.505,0.520045,0.479955,9,0.99
X2.225,0.752759,0.247241,1,0.11
X2.226,0.98232,0.01768,2,0.22
X2.227,0.936807,0.063193,5,0.55
X.9.506,0.853659,0.146341,5,0.55
X.9.507,0.947164,0.052836,8,0.88
X.9.508,0.575,0.425,7,0.77
X.9.509,0.892281,0.107719,39,4.3
X2.228,0.958609,0.041391,1,0.11
X.9.510,0.617542,0.382458,69,7.61
X.9.511,0.81153,0.18847,5,0.55
X.9.512,0.627315,0.372685,43,4.74
X.9.513,0.993889,0.006111,7,0.77
X2.229,0.999447,0.000553,3,0.33
X.9.514,0.563574,0.436426,34,3.75
X2.230,0.903441,0.096559,6,0.66
X2.231,0.837389,0.162611,3,0.33
X2.232,0.953917,0.046083,39,4.3
X.9.515,0.768508,0.231492,2,0.22
X2.233,0.863379,0.136621,25,2.76
X.9.516,0.759136,0.240864,4,0.44
X2.234,0.923289,0.076711,1,0.11
X.9.517,0.994413,0.005587,12,1.32
X.9.518,0.670294,0.329706,126,13.89
X.9.519,0.997241,0.002759,1,0.11
X.9.520,0.572739,0.427261,144,15.88
X.9.521,0.940067,0.059933,6,0.66
X.9.522,0.668824,0.331176,57,6.28
X2.235,0.999449,0.000551,0,0.0
X2.236,0.969512,0.030488,5,0.55
X2.237,0.894795,0.105205,4,0.44
X.9.523,0.877858,0.122142,76,8.38
X2.238,0.85255,0.14745,5,0.55
X1.71,0.658889,0.341111,7,0.77
X.9.524,0.880447,0.119553,12,1.32
X.9.525,0.986157,0.013843,4,0.44
X.9.526,0.906874,0.093126,5,0.55
X.9.527,0.619438,0.380562,53,5.84
X.9.528,0.664205,0.335795,27,2.98
X.9.529,0.947517,0.052483,21,2.32
X2.239,0.999441,0.000559,12,1.32
X1.72,0.746111,0.253889,7,0.77
X.9.530,0.593823,0.406177,49,5.4
X.9.531,0.908333,0.091667,7,0.77
X1.73,0.68523,0.31477,81,8.93
X2.240,0.922778,0.077222,7,0.77
X.9.532,0.862778,0.137222,7,0.77
X.9.533,0.912058,0.087942,3,0.33
X.9.534,0.952882,0.047118,5,0.55
X.9.535,0.999398,0.000602,76,8.38
X.9.536,0.991676,0.008324,6,0.66
X2.241,1.0,0.0,13,1.43
X.9.537,0.964045,0.035955,17,1.87
X.9.538,0.891455,0.108545,41,4.52
X2.242,0.958567,0.041433,14,1.54
X.9.539,0.949501,0.050499,6,0.66
X.9.540,0.668252,0.331748,66,7.28
X.9.541,0.974614,0.025386,1,0.11
X.9.542,0.559247,0.440753,4,0.44
X.9.543,0.985619,0.014381,3,0.33
X.9.544,0.876391,0.123609,98,10.8
X.9.545,0.747253,0.252747,88,9.7
X.9.546,0.536476,0.463524,16,1.76
X.9.547,0.998341,0.001659,3,0.33
X.9.548,0.896437,0.103563,9,0.99
X.9.549,0.757271,0.242729,13,1.43
X2.243,0.933071,0.066929,18,1.98
X.9.550,0.72097,0.27903,20,2.21
X.9.551,0.5,0.5,881,97.13
X2.244,0.829638,0.170362,50,5.51
X.9.552,0.996644,0.003356,13,1.43
X.9.553,0.952086,0.047914,20,2.21
X1.74,0.799779,0.200221,3,0.33
X.9.554,0.764977,0.235023,39,4.3
X.9.555,0.5,0.5,888,97.91
X.9.556,0.959444,0.040556,7,0.77
X.9.557,0.998895,0.001105,2,0.22
X.9.558,0.990648,0.009352,105,11.58
X.9.559,0.983744,0.016256,15,1.65
X2.245,0.999447,0.000553,3,0.33
X.9.560,0.818333,0.181667,7,0.77
X.9.561,0.837763,0.162237,4,0.44
X2.246,0.742239,0.257761,5,0.55
X2.247,0.988359,0.011641,5,0.55
X2.248,0.542002,0.457998,38,4.19
X.9.562,0.971412,0.028588,50,5.51
X.9.563,0.973366,0.026634,81,8.93
X.9.564,0.992248,0.007752,4,0.44
X.9.565,0.572398,0.427602,23,2.54
X.9.566,0.983389,0.016611,4,0.44
X.9.567,0.974747,0.025253,16,1.76
X.9.568,0.567416,0.432584,17,1.87
X.9.569,0.646247,0.353753,1,0.11
X.9.570,0.918968,0.081032,74,8.16
X2.249,0.819645,0.180355,6,0.66
X.9.571,0.978429,0.021571,3,0.33
X.9.572,0.805186,0.194814,155,17.09
X.9.573,0.64581,0.35419,12,1.32
X2.250,0.838202,0.161798,17,1.87
X2.251,0.979843,0.020157,14,1.54
X.9.574,0.932155,0.067845,30,3.31
X.9.575,0.929814,0.070186,45,4.96
X.9.576,0.763012,0.236988,4,0.44
X2.252,0.993363,0.006637,3,0.33
X.9.577,0.988333,0.011667,7,0.77
X.9.578,0.9117,0.0883,1,0.11
X2.253,0.970199,0.029801,1,0.11
X2.254,0.583053,0.416947,16,1.76
X.9.579,0.782946,0.217054,4,0.44
X1.75,0.862822,0.137178,14,1.54
X.9.580,0.966777,0.033223,4,0.44
X.9.581,0.535108,0.464892,24,2.65
X.9.582,0.523256,0.476744,4,0.44
X1.76,0.65,0.35,7,0.77
X.9.583,0.650222,0.349778,5,0.55
X2.255,0.56648,0.43352,12,1.32
X.9.584,0.938462,0.061538,62,6.84
X1.77,0.503977,0.496023,27,2.98
X.9.585,0.535912,0.464088,183,20.18
X.9.586,0.53764,0.46236,17,1.87
X.9.587,0.646189,0.353811,28,3.09
X1.78,0.941372,0.058628,3,0.33
X.9.588,0.712275,0.287725,19,2.09
X.9.589,0.744728,0.255272,6,0.66
X.9.590,0.505624,0.494376,18,1.98
X2.256,0.6404,0.3596,6,0.66
X1.79,0.897982,0.102018,15,1.65
X.9.591,0.519978,0.480022,6,0.66
X.9.592,0.562291,0.437709,8,0.88
X.9.593,0.581243,0.418757,70,7.72
X.9.594,0.883167,0.116833,4,0.44
X.9.595,0.995033,0.004967,1,0.11
X2.257,0.651786,0.348214,11,1.21
X.9.596,0.696347,0.303653,250,27.56
X.9.597,0.775499,0.224501,5,0.55
X.9.598,0.752237,0.247763,13,1.43
X.9.599,0.924528,0.075472,6,0.66
X2.258,0.997231,0.002769,4,0.44
X.9.600,0.958426,0.041574,5,0.55
X2.259,0.996981,0.003019,79,8.71
X2.260,0.777964,0.222036,13,1.43
X.9.601,0.73,0.27,7,0.77
X2.261,0.93785,0.06215,14,1.54
X1.80,0.82537,0.17463,28,3.09
X.9.602,0.927938,0.072062,5,0.55
X.9.603,0.618465,0.381535,8,0.88
X.9.604,0.906615,0.093385,136,14.99
X.9.605,0.642778,0.357222,7,0.77
X2.262,0.981748,0.018252,3,0.33
X.9.606,0.748606,0.251394,10,1.1
X.9.607,0.9551,0.0449,5,0.55
X.9.608,0.956013,0.043987,9,0.99
X.9.609,0.866404,0.133596,20,2.21
X.9.610,0.609566,0.390434,8,0.88
X.9.611,0.712375,0.287625,10,1.1
X.9.612,0.94382,0.05618,17,1.87
X.9.613,0.586585,0.413415,87,9.59
X.9.614,0.785235,0.214765,13,1.43
X2.263,0.972345,0.027655,3,0.33
X2.264,0.942158,0.057842,8,0.88
X0.7,0.590455,0.409545,6,0.66
X2.265,0.954949,0.045051,119,13.12
X2.266,0.933481,0.066519,5,0.55
X2.267,0.98062,0.01938,4,0.44
X2.268,0.98062,0.01938,4,0.44
X2.269,0.983389,0.016611,4,0.44
X.9.615,0.842746,0.157254,4,0.44
X.9.616,0.89581,0.10419,24,2.65
X.9.617,0.838547,0.161453,12,1.32
X.9.618,0.999448,0.000552,2,0.22
X.9.619,0.96614,0.03386,21,2.32
X.9.620,0.942284,0.057716,84,9.26
X.9.621,0.923673,0.076327,3,0.33
X2.270,0.935,0.065,7,0.77
X.9.622,0.970133,0.029867,3,0.33
X.9.623,0.552566,0.447434,108,11.91
X.9.624,0.500589,0.499411,58,6.39
X.9.625,0.851199,0.148801,198,21.83
X.9.626,0.810668,0.189332,54,5.95
X.9.627,0.907428,0.092572,5,0.55
X.9.628,0.974201,0.025799,93,10.25
X.9.629,0.867222,0.132778,7,0.77
X2.271,0.999446,0.000554,4,0.44
X2.272,0.69457,0.30543,23,2.54
X.9.630,0.991111,0.008889,7,0.77
X.9.631,0.853496,0.146504,6,0.66
X.9.632,0.570447,0.429553,34,3.75
X2.273,0.933185,0.066815,9,0.99
X.9.633,0.788554,0.211446,77,8.49
X1.81,0.692992,0.307008,8,0.88
X.9.634,0.885128,0.114872,6,0.66
X.9.635,0.851052,0.148948,4,0.44
X1.82,0.875419,0.124581,12,1.32
X2.274,0.894058,0.105942,15,1.65
X.9.636,0.861494,0.138506,37,4.08
X2.275,0.97973,0.02027,19,2.09
X.9.637,0.668333,0.331667,7,0.77
X.9.638,0.592994,0.407006,122,13.45
X2.276,0.81909,0.18091,6,0.66
X2.277,0.975391,0.024609,13,1.43
X.9.639,0.986173,0.013827,3,0.33
X0.8,0.740864,0.259136,4,0.44
X.9.640,0.999441,0.000559,12,1.32
X2.278,0.998301,0.001699,24,2.65
X.9.641,0.836506,0.163494,14,1.54
X2.279,0.926724,0.073276,95,10.47
X.9.642,0.973976,0.026024,4,0.44
X0.9,0.542411,0.457589,11,1.21
X2.280,0.979581,0.020419,1,0.11
X2.281,0.770903,0.229097,10,1.1
X.9.643,0.63625,0.36375,107,11.8
X2.282,0.974944,0.025056,9,0.99
X.9.644,0.942905,0.057095,5,0.55
X.9.645,0.5006,0.4994,73,8.05
X.9.646,0.946548,0.053452,9,0.99
X2.283,0.928731,0.071269,9,0.99
X.9.647,0.710526,0.289474,71,7.83
X.9.648,0.982222,0.017778,7,0.77
X.9.649,0.59117,0.40883,35,3.86
X2.284,0.887222,0.112778,7,0.77
X2.285,0.998344,0.001656,1,0.11
X2.286,0.756084,0.243916,3,0.33
X.9.650,0.944444,0.055556,16,1.76
X.9.651,0.753623,0.246377,10,1.1
X.9.652,0.91285,0.08715,121,13.34
X.9.653,0.511287,0.488713,21,2.32
X.9.654,0.816234,0.183766,20,2.21
X1.83,0.711111,0.288889,7,0.77
X2.287,0.743063,0.256937,6,0.66
X.9.655,0.558954,0.441046,8,0.88
X.9.656,0.942265,0.057735,15,1.65
X.9.657,0.993355,0.006645,4,0.44
X.9.658,0.986142,0.013858,5,0.55
X.9.659,0.562271,0.437729,88,9.7
X.9.660,0.591676,0.408324,18,1.98
X.9.661,0.86971,0.13029,9,0.99
X2.288,0.892562,0.107438,60,6.62
X.9.662,0.758082,0.241918,10,1.1
X.9.663,0.999344,0.000656,145,15.99
X1.84,0.756667,0.243333,7,0.77
X2.289,0.999441,0.000559,12,1.32
X2.290,0.657738,0.342262,235,25.91
X0.10,0.537415,0.462585,25,2.76
X2.291,0.94629,0.05371,4,0.44
X.9.664,0.738733,0.261267,86,9.48
X.9.665,0.977273,0.022727,5,0.55
X.9.666,0.854452,0.145548,31,3.42
X.9.667,0.912611,0.087389,3,0.33
X.9.668,0.895312,0.104688,587,64.72
X.9.669,0.559933,0.440067,6,0.66
X2.292,0.899336,0.100664,3,0.33
X1.85,0.872312,0.127688,163,17.97
X.9.670,0.704545,0.295455,5,0.55
X.9.671,0.643982,0.356018,18,1.98
X.9.672,0.931538,0.068462,16,1.76
X.9.673,0.997194,0.002806,16,1.76
X2.293,0.951814,0.048186,25,2.76
X.9.674,0.91535,0.08465,21,2.32
X1.86,0.521362,0.478638,158,17.42
X.9.675,0.999441,0.000559,13,1.43
X.9.676,0.950166,0.049834,4,0.44
X.9.677,0.608277,0.391723,25,2.76
X1.87,0.829213,0.170787,17,1.87
X1.88,0.799338,0.200662,152,16.76
X.9.678,0.740556,0.259444,7,0.77
X.9.679,0.999434,0.000566,24,2.65
X.9.680,0.924497,0.075503,13,1.43
X.9.681,0.54152,0.45848,52,5.73
X.9.682,0.544,0.456,157,17.31
X.9.683,0.769828,0.230172,327,36.05
X.9.684,0.976536,0.023464,12,1.32
X1.89,0.887902,0.112098,6,0.66
X.9.685,0.954749,0.045251,12,1.32
X1.90,0.55971,0.44029,11,1.21
X.9.686,0.522247,0.477753,8,0.88
X.9.687,0.992144,0.007856,16,1.76
X.9.688,0.987179,0.012821,10,1.1
X.9.689,0.895787,0.104213,5,0.55
X.9.690,0.849081,0.150919,145,15.99
X.9.691,0.826859,0.173141,6,0.66
X2.294,0.517497,0.482503,164,18.08
X2.295,0.999433,0.000567,25,2.76
X.9.692,0.980814,0.019186,47,5.18
X2.296,0.998896,0.001104,1,0.11
X.9.693,0.999444,0.000556,8,0.88
X.9.694,0.684544,0.315456,40,4.41
X2.297,0.874582,0.125418,10,1.1
X.9.695,0.969734,0.030266,81,8.93
X2.298,0.979535,0.020465,3,0.33
X2.299,0.698661,0.301339,11,1.21
X.9.696,0.729527,0.270473,40,4.41
X.9.697,0.739491,0.260509,3,0.33
X.9.698,0.782851,0.217149,9,0.99
X.9.699,0.945373,0.054627,10,1.1
X2.300,0.877348,0.122652,2,0.22
X2.301,0.999443,0.000557,9,0.99
X.9.700,0.913504,0.086496,11,1.21
X2.302,0.896878,0.103122,10,1.1
X.9.701,0.982816,0.017184,5,0.55
X.9.702,0.899001,0.100999,6,0.66
X2.303,0.545354,0.454646,3,0.33
X.9.703,0.932447,0.067553,4,0.44
X.9.704,0.614317,0.385683,6,0.66
X.9.705,0.97433,0.02567,11,1.21
X.9.706,0.984109,0.015891,26,2.87
X.9.707,0.898324,0.101676,12,1.32
X.9.708,0.945122,0.054878,5,0.55
X.9.709,0.986127,0.013873,6,0.66
X.9.710,0.986173,0.013827,3,0.33
X1.91,0.701987,0.298013,1,0.11
X1.92,0.761615,0.238385,3,0.33
X.9.711,0.86689,0.13311,13,1.43
X2.304,0.886615,0.113385,3,0.33
X1.93,0.613636,0.386364,71,7.83
X2.305,0.993855,0.006145,12,1.32
X.9.712,0.72973,0.27027,19,2.09
X.9.713,0.93578,0.06422,35,3.86
X.9.714,0.858018,0.141982,9,0.99
X1.94,0.78481,0.21519,38,4.19
X0.11,0.736404,0.263596,6,0.66
X2.306,0.986696,0.013304,5,0.55
X.9.715,0.972838,0.027162,5,0.55
X2.307,0.971823,0.028177,2,0.22
X.9.716,0.920089,0.079911,6,0.66
X2.308,0.99778,0.00222,6,0.66
X.9.717,0.999443,0.000557,9,0.99
X1.95,0.585189,0.414811,9,0.99
X.9.718,0.977273,0.022727,5,0.55
X1.96,0.818131,0.181869,8,0.88
X.9.719,0.94852,0.05148,130,14.33
X.9.720,0.60904,0.39096,22,2.43
X.9.721,0.900556,0.099444,7,0.77
X.9.722,0.789062,0.210938,11,1.21
X.9.723,0.505734,0.494266,35,3.86
X.9.724,0.557562,0.442438,21,2.32
X.9.725,0.705422,0.294578,77,8.49
X.9.726,0.633411,0.366589,45,4.96
X.9.727,0.677903,0.322097,106,11.69
X2.309,0.987633,0.012367,58,6.39
X2.310,0.963345,0.036655,34,3.75
X2.311,0.967905,0.032095,19,2.09
X.9.728,0.861607,0.138393,11,1.21
X1.97,0.511053,0.488947,138,15.21
X0.12,0.618202,0.381798,6,0.66
X2.312,0.692438,0.307562,21,2.32
X.9.729,0.698422,0.301578,20,2.21
X.9.730,0.643174,0.356826,6,0.66
X0.13,0.498893,0.498893,4,0.44
X2.313,0.996137,0.003863,1,0.11
X2.314,0.996637,0.003363,15,1.65
X.9.731,0.979885,0.020115,37,4.08
X.9.732,0.95838,0.04162,6,0.66
X.9.733,0.830011,0.169989,4,0.44
X.9.734,0.975691,0.024309,2,0.22
X.9.735,0.833147,0.166853,14,1.54
X1.98,0.760258,0.239742,54,5.95
X.9.736,0.574834,0.425166,5,0.55
X2.315,0.99721,0.00279,11,1.21
X2.316,0.953039,0.046961,2,0.22
X.9.737,0.893653,0.106347,9,0.99
X2.317,0.807008,0.192992,8,0.88
X.9.738,0.920598,0.079402,38,4.19
X2.318,0.816498,0.183502,16,1.76
X.9.739,0.863082,0.136918,5,0.55
X.9.740,0.568233,0.431767,13,1.43
X.9.741,0.905211,0.094789,5,0.55
X2.319,0.644231,0.355769,23,2.54
X2.320,0.998337,0.001663,5,0.55
X.9.742,0.983799,0.016201,12,1.32
X1.99,0.98109,0.01891,8,0.88
X.9.743,0.831422,0.168578,35,3.86
X.9.744,0.994469,0.005531,3,0.33
X2.321,0.810872,0.189128,24,2.65
X.9.745,0.786031,0.213969,5,0.55
X.9.746,0.805743,0.194257,19,2.09
X2.322,0.999449,0.000551,0,0.0
X1.100,0.673351,0.326649,134,14.77
X2.323,0.878771,0.121229,12,1.32
X.9.747,0.998832,0.001168,51,5.62
X.9.748,0.852323,0.147677,3,0.33
X1.101,0.604027,0.395973,13,1.43
X1.102,0.603563,0.396437,9,0.99
X1.103,0.870986,0.129014,4,0.44
X.9.749,0.588889,0.411111,7,0.77
X.9.750,0.981962,0.018038,20,2.21
X.9.751,0.986188,0.013812,2,0.22
X.9.752,0.831096,0.168904,13,1.43
X2.324,0.925721,0.074279,5,0.55
X.9.753,0.589881,0.410119,67,7.39
X.9.754,0.915188,0.084812,5,0.55
X.9.755,0.993916,0.006084,3,0.33
X2.325,0.999449,0.000551,0,0.0
X2.326,0.573879,0.426121,149,16.43
X2.327,0.892938,0.107062,29,3.2
X1.104,0.563452,0.436548,119,13.12
X.9.756,1.0,0.0,139,15.33
X2.328,0.954696,0.045304,2,0.22
X.9.757,0.928174,0.071826,9,0.99
X.9.758,0.57748,0.42252,10,1.1
X.9.759,0.996977,0.003023,80,8.82
X.9.760,0.847174,0.152826,40,4.41
X2.329,0.997792,0.002208,1,0.11
X.9.761,0.588852,0.411148,1,0.11
X0.14,0.580317,0.419683,23,2.54
X.9.762,0.840934,0.159066,8,0.88
X.9.763,0.720291,0.279709,15,1.65
X.9.764,0.613986,0.386014,192,21.17
X.9.765,0.608213,0.391787,6,0.66
X2.330,0.999438,0.000562,18,1.98
X2.331,0.999448,0.000552,1,0.11
X.9.766,0.993363,0.006637,3,0.33
X2.332,0.854577,0.145423,44,4.85
X1.105,0.734184,0.265816,6,0.66
X.9.767,0.999429,0.000571,32,3.53
X.9.768,0.979535,0.020465,3,0.33
X.9.769,0.909808,0.090192,20,2.21
X1.106,0.778587,0.221413,15,1.65
X2.333,0.95727,0.04273,6,0.66
X.9.770,0.905671,0.094329,43,4.74
X2.334,0.903189,0.096811,29,3.2
X2.335,0.939024,0.060976,5,0.55
X2.336,0.987179,0.012821,10,1.1
X2.337,0.972808,0.027192,6,0.66
X.9.771,0.969444,0.030556,7,0.77
X.9.772,0.831853,0.168147,6,0.66
X.9.773,0.928817,0.071183,36,3.97
X.9.774,0.501125,0.498875,18,1.98
X.9.775,0.930464,0.069536,152,16.76
X2.338,0.587416,0.412584,9,0.99
X2.339,0.589544,0.410456,8,0.88
X2.340,0.913717,0.086283,3,0.33
X.9.776,0.991991,0.008009,33,3.64
X.9.777,0.67184,0.32816,5,0.55
X2.341,0.973481,0.026519,2,0.22
X1.107,0.682327,0.317673,13,1.43
X.9.778,0.924862,0.075138,2,0.22
X.9.779,0.669195,0.330805,50,5.51
X.9.780,0.764967,0.235033,5,0.55
X.9.781,0.97095,0.02905,12,1.32
X2.342,0.882647,0.117353,8,0.88
X.9.782,0.740864,0.259136,4,0.44
X2.343,0.964602,0.035398,3,0.33
X2.344,0.998894,0.001106,3,0.33
X2.345,0.858564,0.141436,2,0.22
X.9.783,0.985083,0.014917,2,0.22
X2.346,0.974586,0.025414,2,0.22
X.9.784,0.958472,0.041528,4,0.44
X.9.785,0.934181,0.065819,3,0.33
X.9.786,0.933608,0.066392,56,6.17
X2.347,0.900891,0.099109,9,0.99
X2.348,0.697545,0.302455,11,1.21
X.9.787,0.978429,0.021571,3,0.33
X.9.788,0.880979,0.119021,8,0.88
X2.349,0.95898,0.04102,5,0.55
X.9.789,0.817627,0.182373,5,0.55
X.9.790,0.675,0.325,307,33.85
X.9.791,0.892205,0.107795,86,9.48
X1.108,0.60742,0.39258,4,0.44
X.9.792,0.696636,0.303364,45,4.96
X2.350,0.798767,0.201233,15,1.65
X1.109,0.517837,0.482163,10,1.1
X.9.793,0.854144,0.145856,2,0.22
X1.110,0.546318,0.453682,65,7.17
X.9.794,0.861111,0.138889,7,0.77
X.9.795,0.594308,0.405692,11,1.21
X.9.796,0.715642,0.284358,12,1.32
X.9.797,0.664262,0.335738,6,0.66
X2.351,0.625975,0.374025,10,1.1
X.9.798,1.0,0.0,14,1.54
X.9.799,0.896781,0.103219,6,0.66
X.9.800,0.974558,0.025442,3,0.33
X.9.801,0.904342,0.095658,170,18.74
X2.352,0.762458,0.237542,4,0.44
X.9.802,0.948909,0.051091,36,3.97
X1.111,0.796317,0.203683,11,1.21
X.9.803,0.750846,0.249154,20,2.21
X.9.804,0.999429,0.000571,32,3.53
X.9.805,0.917595,0.082405,9,0.99
X.9.806,0.970553,0.029447,75,8.27
X.9.807,0.676802,0.323198,19,2.09
X2.353,0.998897,0.001103,0,0.0
X2.354,0.90144,0.09856,4,0.44
X.9.808,0.992762,0.007238,9,0.99
X.9.809,0.999448,0.000552,2,0.22
X.9.810,0.52845,0.47155,81,8.93
